id_venda,id_cliente,id_produto,quantidade,data_venda,valor_total
56,13,5,3,2025-04-28,389.70
57,11,3,1,2025-04-28,39.90
58,20,19,1,2025-01-19,99.90
59,18,7,5,2025-03-09,374.50
60,5,12,1,  2025-03-04 ," 159,90"
61,12,10,,23/04/2025,79.80
62,27,18,3,2025-06-06,209.70
63,26,17,1,2025-06-20,49.90
64,27,18,3,19/06/2025,209.70
65,4,5,3,2025-01-30,389.70
66,29,4,5,2025-02-09,999.50
67,9,10,5,  2025-02-23 , 199.50
68,23,11,2,2025-06-25,"259,80"
69,21,9,5,06/05/2025,449.50
70,9,2,1,2025-06-12,49.90
71,14,9,1,2025-01-01,89.90
72,11,5,3,2025-02-11,389.70
73,24,15,5,2025-06-30,164.50
74,14,18,1,29/01/2025,69.90
75,3,5,0,2025-01-10,649.50
76,27,12,5,2025-05-22,799.50
77,5,14,2,2025-01-11,49.80
78,10,12,,02/04/2025,159.90
79,7,8,1,2025-04-01,29.90
80,25,18,4,2025-06-08,279.60
81,24,5,2,2025-02-11,"259,80"
82,26,6,4,2025-01-07,"239,60"
83,6,11,4,2025-06-21,519.60
84,28,8,3,2025-02-10,89.70
85,26,4,,2025-01-10,799.60
86,9999,16,2,2025-02-21,89.80
87,27,15,3,  2025-03-20 , 98.70
88,27,8,2,2025-01-07,59.80
89,22,7,4,2025-03-26,299.60
90,9,3,3,2025-03-31,119.70
91,21,17,4,2025-06-23,199.60
92,27,18,3,2025-01-08,209.70
93,4,9,2,29/05/2025,179.80
94,9,2,1,2025-06-02,49.90
95,14,12,3,2025-04-22,479.70
96,20,17,1,2025-04-09,"49,90"
97,29,19,2,07/03/2025,199.80
98,2,14,1,2025-05-14,24.90
99,30,18,2,2025-04-04,139.80
100,14,3,3,2025-06-09,119.70
101,11,4,3,2025-05-10,"599,70"
102,10,14,3,2025-04-14,74.70
103,23,10,5,2025-02-02,199.50
104,7,14,4,2025-06-23,99.60
105,24,6,5,2025-05-26,299.50
106,10,13,5,2025-01-01,74.50
107,10,10,2,2025-04-21,79.80
108,26,19,5,2025-06-17,499.50
109,11,15,4,2025-04-24,131.60
110,22,7,5,02/05/2025,374.50
111,26,6,1,2025-03-14,59.90
112,17,11,1,  2025-03-02 , 129.90
113,22,10,2,2025-02-20,79.80
114,5,1,1,04/03/2025,89.90
115,16,3,4,17/04/2025,159.60
116,29,19,2,2025-06-28,"199,80"
117,13,16,4,2025-03-04,179.60
118,5,1,1,2025-04-19,89.90
119,8,6,5,2025-04-29,"299,50"
120,2,18,2,2025-02-01,139.80
121,15,5,4,2025-06-20,519.60
122,17,18,5,2025-03-23,349.50
123,25,15,5,2025-05-10,164.50
124,14,18,4,10/02/2025,279.60
125,24,16,4,2025-03-08,179.60
126,25,8,3,2025-05-14,89.70
127,16,8,3,  2025-04-23 , 89.70
128,3,10,2,2025-03-11,79.80
129,11,11,5,2025-01-21,649.50
130,5,5,2,2025-04-09,259.80
131,23,5,2,2025-01-17,259.80
132,14,14,3,2025-05-19,74.70
133,15,14,1,2025-02-22,24.90
134,27,14,4,2025-05-30,"99,60"
135,23,1,5,2025-04-08,449.50
136,16,1,3,2025-03-18,269.70
137,25,13,4,2025-05-18,59.60
138,24,18,5,2025-02-26,349.50
139,16,8,3,2025-04-22,89.70
140,16,1,4,2025-03-28,359.60
141,22,13,2,2025-04-30,"29,80"
142,30,5,5,2025-05-17,649.50
143,1,13,5,2025-05-25,74.50
144,22,1,1,2025-06-14,"89,90"
145,14,5,4,2025-02-16,519.60
146,2,9,4,2025-03-25,359.60
147,7,15,3,2025-03-28,98.70
148,25,13,,  2025-04-18 , 44.70
149,9,3,4,05/01/2025,159.60
150,24,18,0,2025-03-31,69.90
151,8,3,1,2025-01-08,39.90
152,8,7,1,2025-06-09,74.90
153,5,8,2,2025-05-02,"59,80"
154,22,4,5,2025-02-25,999.50
155,15,9,3,2025-02-12,
156,20,4,2,2025-03-21,399.80
157,4,19,1,2025-03-21,99.90
158,19,13,4,20/02/2025,59.60
159,3,19,2,2025-01-27,199.80
160,23,10,5,2025-01-31,199.50
161,26,19,1,2025-03-30,99.90
162,18,14,3,2025-01-18,
163,17,11,1,2025-04-18,"129,90"
164,27,16,1,2025-04-21,44.90
165,12,15,2,2025-04-22,65.80
166,6,17,3,07/06/2025,149.70
167,26,18,4,2025-04-30,279.60
168,14,19,3,2025-03-24,"299,70"
169,28,8,1,2025-03-13,29.90
170,29,15,2,2025-04-29,65.80
171,19,13,3,2025-01-08,44.70
172,16,11,2,2025-05-05,"259,80"
173,7,12,3,2025-03-29,479.70
174,9,9,5,2025-01-03,449.50
175,17,7,1,2025-03-03,"74,90"
176,24,14,,2025-05-23,99.60
177,25,8,4,2025-06-15,"119,60"
178,23,16,4,  2025-01-05 , 179.60
179,3,10,2,2025-04-14,79.80
180,23,8,3,2025-06-19,
181,19,12,4,2025-05-22,639.60
182,17,12,4,  2025-05-21 , 
183,11,12,4,2025-03-11,639.60
184,10,9,2,2025-01-31,179.80
185,24,7,3,2025-01-31,224.70
186,24,18,2,2025-02-19,"139,80"
187,7,16,3,2025-05-31,134.70
188,25,17,5,14/03/2025,249.50
189,4,7,3,2025-02-28,224.70
190,12,6,3,2025-01-04,179.70
191,23,18,2,2025-03-12,139.80
192,2,2,5,2025-03-16,249.50
193,23,5,4,2025-01-27,519.60
194,28,1,5,2025-03-14,449.50
195,16,16,4,2025-03-29,179.60
196,6,2,3,2025-05-03,149.70
197,4,3,4,2025-05-06,
198,3,19,1,2025-02-08,99.90
199,5,19,3,2025-01-22,299.70
200,8,4,5,2025-04-17,999.50
201,20,8,5,  2025-04-08 , 149.50
202,15,15,3,2025-05-31,
203,14,10,5,08/06/2025,199.50
204,2,4,2,  10/06/2025 , 399.80
205,7,9,1,2025-02-10,"89,90"
206,9999,6,5,2025-01-20,299.50
207,6,1,4,2025-04-26,359.60
208,23,16,3,2025-01-09,134.70
209,8,10,3,2025-06-29,"119,70"
210,28,15,1,2025-06-25,32.90
211,8,9,5,2025-06-19,449.50
212,26,7,4,2025-01-30,299.60
213,18,8,2,2025-03-10,"59,80"
214,27,5,1,2025-01-16,129.90
215,6,10,,26/05/2025,199.50
216,30,10,,2025-02-01,159.60
217,15,10,4,2025-03-11,159.60
218,17,18,4,23/04/2025,279.60
219,3,2,4,2025-03-24,199.60
220,20,9,1,2025-01-24,89.90
221,8,19,5,2025-01-06,499.50
222,25,9,5,2025-01-11,449.50
223,25,6,4,13/05/2025,
224,21,15,3,2025-02-16,98.70
225,19,14,4,2025-01-24,99.60
226,16,12,4,2025-03-27,639.60
227,11,4,2,2025-03-26,399.80
228,14,16,3,2025-06-19,134.70
229,13,18,1,2025-04-27,69.90
230,9999,11,,2025-03-24,389.70
231,4,13,5,2025-01-01,74.50
232,22,18,0,2025-04-16,"279,60"
233,2,7,5,2025-04-03,"374,50"
234,20,16,4,2025-01-14,179.60
235,7,9,5,2025-02-03,449.50
236,30,10,4,2025-06-28,159.60
237,16,4,1,  2025-06-11 ," 199,90"
238,20,8,2,2025-03-21,59.80
239,18,1,5,2025-04-15,449.50
240,3,8,1,2025-04-29,29.90
241,4,5,4,2025-03-16,519.60
242,17,9,4,2025-05-04,359.60
243,16,8,4,2025-05-22,119.60
244,5,13,2,2025-06-03,29.80
245,17,5,1,2025-03-12,129.90
246,25,14,3,2025-05-10,74.70
247,9,1,3,2025-03-18,269.70
248,27,19,5,2025-06-18,499.50
249,16,5,4,2025-05-18,519.60
250,16,12,3,2025-05-22,479.70
251,25,18,,2025-04-27,279.60
252,30,11,2,2025-06-28,259.80
253,8,19,4,  2025-03-01 , 399.60
254,28,14,,2025-03-23,24.90
255,24,16,4,  2025-04-09 , 179.60
256,22,5,4,2025-01-10,519.60
257,5,17,5,2025-03-26,
258,28,4,4,2025-01-26,799.60
259,17,15,1,2025-02-06,32.90
260,14,5,1,01/05/2025,129.90
261,26,9,3,2025-06-09,269.70
262,23,13,1,2025-03-26,
263,28,18,,2025-03-23,279.60
264,21,16,5,2025-01-10,224.50
265,20,3,2,2025-06-11,79.80
266,22,10,2,2025-01-24,79.80
267,14,4,1,2025-04-24,199.90
268,6,10,1,2025-01-12,39.90
269,11,2,,2025-04-02,"149,70"
270,12,14,2,2025-03-04,49.80
271,17,14,5,2025-06-24,"124,50"
272,26,6,2,2025-02-14,119.80
273,3,13,5,2025-06-24,
274,8,16,5,2025-02-06,224.50
275,8,15,3,28/04/2025,98.70
276,9,1,4,2025-03-15,359.60
277,22,18,2,19/01/2025,139.80
278,15,12,5,2025-03-18,799.50
279,21,14,3,2025-04-27,74.70
280,28,10,2,2025-04-09,79.80
281,28,16,1,2025-03-02,44.90
282,9999,19,3,2025-05-28,299.70
283,10,10,1,18/06/2025,39.90
284,13,9,1,2025-05-25,89.90
285,28,2,5,2025-05-08,
286,27,10,2,05/06/2025,79.80
287,26,12,2,12/06/2025,319.80
288,7,9,2,2025-06-10,179.80
289,4,2,3,2025-04-23,149.70
290,2,19,3,03/02/2025,299.70
291,3,10,3,2025-04-17,119.70
292,6,7,2,2025-05-19,149.80
293,29,12,5,09/05/2025,799.50
294,30,9,2,2025-03-07,179.80
295,30,16,3,2025-03-28,134.70
296,26,4,4,20/01/2025,799.60
297,5,8,4,2025-05-23,119.60
298,12,3,4,04/01/2025,159.60
299,9,18,1,27/04/2025,69.90
300,12,9,5,08/04/2025,449.50
282,9999,19,3,2025-05-28,299.70
143,1,13,5,2025-05-25,74.50
213,18,8,2,2025-03-10,"59,80"
184,10,9,2,2025-01-31,179.80
195,16,16,4,2025-03-29,179.60
119,8,6,5,2025-04-29,"299,50"
78,10,12,,02/04/2025,159.90
43,10,14,5,2025-06-19,124.50
